TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL,RET,LOG_RET,RV_20,FUTURE_RV_5
2026-03-16,48.02,48.58,46.8,48.58,27209465.0,1299780114.0,597448928.0,0.0455427463751345,300456.SZ,sz300456,0.0114511763481157,0.0113861078972934,0.0367483618331138,0.046958515465904
2026-03-17,48.65,48.7,45.1,45.18,41727990.0,1935403712.0,597448928.0,0.0698436101303039,300456.SZ,sz300456,-0.0699876492383696,-0.0725574125341691,0.0365803502582798,0.0348239739484041
2026-03-18,46.03,46.33,45.18,46.27,24593266.0,1126365187.0,597448928.0,0.0411637963471247,300456.SZ,sz300456,0.0241257193448429,0.0238392918790511,0.0369299788717566,0.0352816132453331
2026-03-19,45.38,46.02,44.79,45.07,23683469.0,1074349345.0,597448928.0,0.0396409933804417,300456.SZ,sz300456,-0.0259347309271666,-0.0262769662163513,0.036605989113626,0.0373280757674986
2026-03-20,45.79,47.46,45.2,45.65,45721534.0,2126587803.0,597448928.0,0.0765279371293808,300456.SZ,sz300456,0.0128688706456623,0.0127867703384205,0.0358788373411407,0.0499828357231394
2026-03-23,44.16,44.84,42.4,42.74,35668489.0,1554659444.0,597448928.0,0.0597013189385118,300456.SZ,sz300456,-0.0637458926615552,-0.0658683571499758,0.0371758763182088,0.0405219305133739
2026-03-24,43.6,43.75,42.16,43.49,28548130.0,1226243336.0,597448928.0,0.0477833814106366,300456.SZ,sz300456,0.0175479644361253,0.0173957767185454,0.0362077343737913,0.0449630127850227
2026-03-25,43.95,45.43,43.95,44.68,29895311.0,1338437732.0,597448928.0,0.0500382703841758,300456.SZ,sz300456,0.0273626120947343,0.0269949475914528,0.0365492223495754,0.0480835573976576
2026-03-26,44.39,44.48,42.95,43.02,26056001.0,1136982768.0,597448928.0,0.0436120976687065,300456.SZ,sz300456,-0.0371530886302595,-0.0378608503614159,0.0359266685365584,0.0472050572095176
2026-03-27,42.16,47.33,42.07,46.39,70453779.0,3198433493.0,597448928.0,0.1179243541968494,300456.SZ,sz300456,0.0783356578335656,0.0754187949240682,0.0375913490569154,0.0348000939758847
2026-03-30,45.76,46.35,45.21,46.04,35249495.0,1617289640.0,597448928.0,0.0590000138053641,300456.SZ,sz300456,-0.0075447294675576,-0.0075733349099704,0.0374799914024224,0.0418670585673832
2026-03-31,45.5,45.65,43.89,43.93,31461664.0,1405842445.0,597562760.0,0.0526499743725663,300456.SZ,sz300456,-0.0458297132927888,-0.0469131258659936,0.0365580305729262,0.0370375865996787
2026-04-01,45.5,46.58,44.73,46.03,44371626.0,2031094346.0,597562760.0,0.0742543360633785,300456.SZ,sz300456,0.0478033234691555,0.0466958998414619,0.0380168201022055,0.0337077850445546
2026-04-02,45.64,47.99,45.47,47.52,58655241.0,2783539032.0,597562760.0,0.0981574571347116,300456.SZ,sz300456,0.0323701933521616,0.0318573172252394,0.0386672983149333,0.0323286434893076
2026-04-03,48.14,50.4,48.0,48.7,71965801.0,3542246210.0,597562760.0,0.1204322053134636,300456.SZ,sz300456,0.0248316498316498,0.0245283550341546,0.0389563036779471,0.0305631101613616
2026-04-07,49.67,51.99,49.65,51.33,82713507.0,4226641645.0,597562760.0,0.1384181085849459,300456.SZ,sz300456,0.0540041067761805,0.0525963464836675,0.0391931570297517,0.0198024023346556
2026-04-08,53.0,53.03,50.5,52.22,99761994.0,5156455868.0,597562760.0,0.166948144492806,300456.SZ,sz300456,0.017338788233002,0.0171901866987709,0.0380180976995886,0.0200412472636693
2026-04-09,50.8,54.86,50.61,53.9,92328656.0,4948579588.0,597562760.0,0.1545087180466199,300456.SZ,sz300456,0.032171581769437,0.0316649146439687,0.0384598939461814,0.0142248105139068
2026-04-10,53.8,55.39,52.59,52.64,75977241.0,4069387759.0,597562760.0,0.127145207308434,300456.SZ,sz300456,-0.0233766233766233,-0.0236541908978897,0.0387296496113583,0.0292279208396752
2026-04-13,51.45,53.48,51.33,53.0,55546978.0,2931076480.0,597562760.0,0.0929558896876371,300456.SZ,sz300456,0.0068389057750759,0.00681562653506,0.0387515705521603,0.0293127798205885
2026-04-14,53.2,54.8,52.56,53.4,65671402.0,3527467383.0,597562760.0,0.1098987527268265,300456.SZ,sz300456,0.0075471698113207,0.0075188324140273,0.0387043755879116,0.0303044924828587
2026-04-15,53.5,54.0,52.08,52.42,51637561.0,2730901576.0,597562760.0,0.0864136195501875,300456.SZ,sz300456,-0.0183520599250935,-0.0185225480708888,0.035382962331034,0.0303346243367539
