TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2026-01-22,62.75,1.93,1323179696.0,9.6,1018455552.0,7.39,304724144.0,2.21,-1002023648.0,-7.27,-321156048.0,-2.33,601138.SH
2026-01-23,60.11,-4.21,-2633416640.0,-21.42,-2182964976.0,-17.76,-450451664.0,-3.66,679716528.0,5.53,1953700192.0,15.89,601138.SH
2026-01-26,59.26,-1.41,-529477520.0,-7.57,-346921216.0,-4.96,-182556304.0,-2.61,-125585744.0,-1.8,655063264.0,9.37,601138.SH
2026-01-27,60.97,2.89,2055782928.0,15.93,1601278352.0,12.41,454504576.0,3.52,-1060837552.0,-8.22,-994945392.0,-7.71,601138.SH
2026-01-28,60.69,-0.46,308566768.0,2.92,213568736.0,2.02,94998032.0,0.9,-713263648.0,-6.75,404696880.0,3.83,601138.SH
2026-01-29,57.6,-5.09,-6531166848.0,-34.33,-6300776800.0,-33.12,-230390048.0,-1.21,2521163744.0,13.25,4010002944.0,21.08,601138.SH
2026-01-30,57.7,0.17,-795768240.0,-8.09,-491970400.0,-5.0,-303797840.0,-3.09,111192016.0,1.13,684576240.0,6.96,601138.SH
2026-02-02,55.68,-3.5,-1839425552.0,-20.86,-1218685632.0,-13.82,-620739920.0,-7.04,516087952.0,5.85,1323337584.0,15.01,601138.SH
2026-02-03,55.75,0.13,-1044050880.0,-11.3,-562138992.0,-6.08,-481911888.0,-5.21,150736704.0,1.63,893314176.0,9.67,601138.SH
2026-02-04,53.41,-4.2,-1711649680.0,-16.92,-1111952464.0,-10.99,-599697216.0,-5.93,406867104.0,4.02,1304782560.0,12.9,601138.SH
2026-02-05,53.88,0.88,497904416.0,6.41,356530816.0,4.59,141373600.0,1.82,-163458256.0,-2.11,-334446160.0,-4.31,601138.SH
2026-02-06,54.4,0.97,536227440.0,7.19,308570480.0,4.14,227656960.0,3.05,-344884352.0,-4.63,-191343104.0,-2.57,601138.SH
2026-02-09,55.52,2.06,77062016.0,0.99,374234144.0,4.78,-297172128.0,-3.8,-155813600.0,-1.99,78751584.0,1.01,601138.SH
2026-02-10,56.07,0.99,339613264.0,5.41,351172672.0,5.6,-11559408.0,-0.18,-229760512.0,-3.66,-109852752.0,-1.75,601138.SH
2026-02-11,55.2,-1.55,-512321680.0,-12.33,-316948672.0,-7.63,-195373008.0,-4.7,58088272.0,1.4,454233424.0,10.93,601138.SH
2026-02-12,55.33,0.24,-241235488.0,-5.24,-86872112.0,-1.89,-154363376.0,-3.35,-42270304.0,-0.92,283505792.0,6.16,601138.SH
2026-02-13,54.75,-1.05,-29118336.0,-0.77,21543840.0,0.57,-50662176.0,-1.34,-39371568.0,-1.04,68489920.0,1.81,601138.SH
2026-02-24,55.38,1.15,217970960.0,3.65,-33865008.0,-0.57,251835968.0,4.22,-192582304.0,-3.22,-25388656.0,-0.42,601138.SH
2026-02-25,57.39,3.63,1675291168.0,17.37,1638114768.0,16.98,37176400.0,0.39,-870337360.0,-9.02,-804953824.0,-8.34,601138.SH
2026-02-26,57.95,0.98,302946864.0,3.23,421994368.0,4.5,-119047504.0,-1.27,-147365696.0,-1.57,-155581168.0,-1.66,601138.SH
2026-02-27,55.7,-3.88,-2154594832.0,-22.79,-1596702240.0,-16.89,-557892592.0,-5.9,817146848.0,8.65,1337448000.0,14.15,601138.SH
2026-03-02,55.53,-0.31,-282804736.0,-4.34,-116936288.0,-1.8,-165868448.0,-2.55,-8777664.0,-0.13,291582416.0,4.48,601138.SH
2026-03-03,54.88,-1.17,-251453456.0,-2.31,-519610048.0,-4.77,268156592.0,2.46,284056736.0,2.61,-32603280.0,-0.3,601138.SH
2026-03-04,53.76,-2.04,-620476800.0,-10.67,-247761328.0,-4.26,-372715472.0,-6.41,204822160.0,3.52,415654624.0,7.15,601138.SH
2026-03-05,55.1,2.49,711011840.0,9.43,754936800.0,10.02,-43924960.0,-0.58,-495123232.0,-6.57,-215888624.0,-2.86,601138.SH
2026-03-06,54.33,-1.4,-3827488.0,-0.08,5293936.0,0.11,-9121424.0,-0.19,-10333712.0,-0.22,14161184.0,0.3,601138.SH
2026-03-09,52.79,-2.83,-1326789120.0,-15.09,-834663360.0,-9.49,-492125760.0,-5.6,497049600.0,5.65,829739504.0,9.44,601138.SH
2026-03-10,54.36,2.97,107376880.0,1.7,39795584.0,0.63,67581296.0,1.07,-160255696.0,-2.53,52878816.0,0.83,601138.SH
2026-03-11,53.89,-0.86,-356291136.0,-5.39,-436081472.0,-6.6,79790336.0,1.21,289530864.0,4.38,66760288.0,1.01,601138.SH
2026-03-12,52.54,-2.51,-652964272.0,-8.68,-783322352.0,-10.41,130358080.0,1.73,325984112.0,4.33,326980160.0,4.35,601138.SH
2026-03-13,52.49,-0.1,57612768.0,1.16,-41201552.0,-0.83,98814320.0,1.99,8355008.0,0.17,-65967776.0,-1.33,601138.SH
2026-03-16,52.7,0.4,-225515360.0,-4.29,60364112.0,1.15,-285879472.0,-5.44,123839856.0,2.36,101675520.0,1.94,601138.SH
2026-03-17,50.9,-3.42,-1038512560.0,-15.16,-803940624.0,-11.73,-234571936.0,-3.42,358082112.0,5.23,680430448.0,9.93,601138.SH
2026-03-18,52.06,2.28,412768384.0,6.83,279584320.0,4.63,133184064.0,2.2,-303294224.0,-5.02,-109474176.0,-1.81,601138.SH
2026-03-19,50.46,-3.07,-932079328.0,-17.41,-665915616.0,-12.44,-266163712.0,-4.97,222847760.0,4.16,709231568.0,13.24,601138.SH
2026-03-20,50.3,-0.32,246867216.0,3.11,432602256.0,5.46,-185735040.0,-2.34,-255278416.0,-3.22,8411200.0,0.11,601138.SH
2026-03-23,47.6,-5.37,-655142512.0,-9.93,-288317280.0,-4.37,-366825232.0,-5.56,102256672.0,1.55,552885856.0,8.38,601138.SH
2026-03-24,48.84,2.61,251992704.0,4.72,235507280.0,4.41,16485424.0,0.31,-259125264.0,-4.85,7132544.0,0.13,601138.SH
2026-03-25,50.31,3.01,318032592.0,5.02,540982576.0,8.53,-222949984.0,-3.52,-243274432.0,-3.84,-74758176.0,-1.18,601138.SH
2026-03-26,49.74,-1.13,-114114768.0,-2.11,-133576000.0,-2.47,19461232.0,0.36,-58844800.0,-1.09,172959568.0,3.2,601138.SH
2026-03-27,49.53,-0.42,-195028576.0,-5.05,-110500992.0,-2.86,-84527584.0,-2.19,2308896.0,0.06,192719680.0,4.99,601138.SH
2026-03-30,49.27,-0.52,-52888752.0,-1.63,-41712496.0,-1.29,-11176256.0,-0.35,40385744.0,1.25,12503024.0,0.39,601138.SH
2026-03-31,51.46,4.44,1979042848.0,16.13,1805407520.0,14.71,173635328.0,1.41,-881549184.0,-7.18,-1097493664.0,-8.94,601138.SH
